ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
44360456,1759842,0,0
45652000,1125315,0,0
45623160,1124957,0,0
45637268,1125315,0,0
45626304,1119510,0,0
45629788,701322,0,0
45639652,1177480,0,0
45777848,40229136,2,3
45633084,1124957,0,0
45779176,1110410,0,0
45680772,19078460,2,3
45679760,19057272,2,3
45703584,791967,0,0
45703192,1174888,0,0
45895248,19008572,2,3
45795664,1521369,0,0
46243488,1119510,0,0
45685008,1125315,0,0
46243600,1125315,0,0
45791708,1119510,0,0
46315096,1129625,0,0
45897164,46233988,2,3
4024567,4280726,3,7
4047779,4152936,5,7
21500092,1500211,4,4
21004232,1713332,0,0
35100000,4056621,5,5
36203064,4132546,3,3
36158916,1119510,0,0
36300000,4109685,8,12
37502348,4186930,3,3
44349748,40231924,2,3
45619912,1192710,0,0
44360460,933724,0,0
45651936,1125315,0,0
45623168,1154029,0,0
45637272,1125315,0,0
45626380,1119510,0,0
45629920,1728416,0,0
45639528,1177480,0,0
45777824,40229136,2,3
45633060,1149196,0,0
45779376,1192710,0,0
45677424,19078460,2,3
45697812,19019272,2,3
45703348,1174888,0,0
45703280,1192710,0,0
45895504,40232448,2,3
45795680,1539403,0,0
46243720,1119510,0,0
45684924,1125315,0,0
46243488,1125315,0,0
45791404,1119510,0,0
46315304,1129625,0,0
45897164,46233712,2,3
432795,40480160,7,7
4047779,4266809,5,7
21500136,19128064,4,4
21004248,1174888,0,0
21503650,1125315,5,5
35702124,28060,3,3
36159236,1119510,0,0
36300000,4112343,8,14
37502348,44805732,3,3
44349752,19133904,2,3
45619912,1322184,0,0
44360560,1154029,0,0
45650044,1125315,0,0
45621244,1332418,0,0
45637412,1125315,0,0
45626440,1119510,0,0
45629944,1539403,0,0
45636640,1177480,0,0
45654800,19078460,2,3
45633072,738818,0,0
45779124,19010482,0,0
45705520,19075600,2,3
45696896,920334,2,3
45703548,1778162,0,0
45703280,1107830,0,0
45895488,19008572,2,3
45795596,19010482,0,0
46243640,1119510,0,0
45684980,1125315,0,0
46243624,1125315,0,0
45791684,1119510,0,0
46309600,1129625,0,0
45803688,19075600,2,3
4022922,40479424,6,7
4047779,258780,5,9
21500136,19127918,4,4
21004388,975125,0,0
21503650,19003952,5,5
36002868,433644,3,3
36159080,1119510,0,0
36300000,321042,9,13
40490904,44805732,3,3
44349556,40162520,2,3
45619920,1112807,0,0
44360632,1129625,0,0
45646740,1125315,0,0
45621276,1149196,0,0
45639940,1125315,0,0
45626312,1119510,0,0
45629720,914335,0,0
45636976,1177480,0,0
45654848,19008572,2,3
45633136,1110410,0,0
45778924,791967,0,0
45686956,1332419,2,3
45697016,19133904,2,3
45703632,1107830,0,0
45703108,1729720,0,0
45894536,40162520,2,3
45795684,1548195,0,0
46243512,1119510,0,0
45685104,1125315,0,0
46243640,1125315,0,0
45791552,1119510,0,0
46309864,1129625,0,0
45894792,19078460,2,3
4022922,40479768,6,7
4047779,81893,5,11
21500136,19132304,4,4
21003586,914335,0,0
21503650,1112807,5,5
36002868,4219399,3,3
36159128,1119510,0,0
36300000,28060,9,12
40763496,3013682,3,3
44349660,40232448,2,3
45620000,1107830,0,0
44360652,967823,0,0
45646744,1125315,0,0
45621236,914335,0,0
45640208,1125315,0,0
45623148,1119510,0,0
45629800,1192710,0,0
45637248,1177480,0,0
45654792,40232448,2,3
45633144,738818,0,0
45779076,791967,0,0
45686880,19075600,2,3
45697016,40232448,2,3
45703504,914335,0,0
45703120,1000560,0,0
45803236,43012036,2,3
45795688,1153428,0,0
46243504,1119510,0,0
45685064,1125315,0,0
46243640,1125315,0,0
45791692,1119510,0,0
46309744,1129625,0,0
45894816,40223768,2,3
4024567,261325,4,7
4185115,4336464,5,8
21500136,19127904,4,4
21004248,1119510,0,0
21502584,708298,5,5
36002868,4240902,3,3
36159272,1119510,0,0
36300000,255848,9,12
40763496,3023103,3,3
44349860,40232448,2,3
45619888,738818,0,0
44360692,1332418,0,0
45646744,1125315,0,0
45621216,1149196,0,0
45640028,1125315,0,0
45622984,1119510,0,0
45629804,914335,0,0
45633284,1177480,0,0
45645240,1107882,2,3
45633116,1107830,0,0
45778988,1000560,0,0
45695656,19075600,2,3
45697308,1115171,2,3
45703300,1107830,0,0
45699800,1310149,0,0
45803420,1127433,2,3
45795688,1115008,0,0
46243656,1119510,0,0
45684712,1125315,0,0
46243640,1125315,0,0
45791836,1119510,0,0
46309912,1129625,0,0
45894820,40228216,2,3
4024567,260139,4,7
4180627,4107731,5,8
21500136,19128008,4,4
21004248,1177480,0,0
21502584,1125315,5,5
36002868,37017712,3,3
36159044,1119510,0,0
36300000,198199,9,12
40763496,3016723,3,3
44350048,40229136,2,3
45620128,791967,0,0
44360568,1115008,0,0
45646600,1125315,0,0
45621256,1778162,0,0
45639984,1125315,0,0
45623088,1119510,0,0
45629988,1149380,0,0
45633288,1177480,0,0
45655484,1545959,2,3
45633120,1174888,0,0
45707620,1589505,0,0
45693168,19075600,2,3
45693944,19008572,2,3
45703312,1149196,0,0
45700036,19002770,0,0
45803356,40229136,2,3
45795696,1549786,0,0
46243584,1119510,0,0
45685076,1125315,0,0
46243732,1125315,0,0
45791784,1119510,0,0
46304704,1129625,0,0
45894608,1107882,2,3
4024567,4294548,4,7
4180628,4237458,5,7
21500136,42902244,4,4
21004248,1112807,0,0
21502584,1115008,5,5
36203068,4109685,3,3
36159344,1119510,0,0
36300000,440448,9,14
37219968,317576,3,3
44341796,40232448,2,3
45619840,1177480,0,0
44360576,791967,0,0
45646880,1125315,0,0
45621260,1309944,0,0
45639944,1125315,0,0
45623012,1119510,0,0
45629988,1153428,0,0
45633224,1177480,0,0
45639568,1332419,2,3
45633128,1000560,0,0
45707624,1118084,0,0
45692640,1332419,2,3
45693944,40174880,2,3
45703312,1107830,0,0
45699812,1332418,0,0
45876068,3024561,2,3
45795696,1521369,0,0
46243812,1119510,0,0
45685084,1125315,0,0
46243612,1125315,0,0
45791584,1119510,0,0
46304704,1129625,0,0
45803816,1107882,2,3
4024567,40486432,4,7
4178818,4048171,5,7
21500136,19128264,4,4
21004386,1551099,0,0
21502584,740275,5,5
36203068,4152936,3,3
36159212,1119510,0,0
36300000,442116,9,10
